year-month,cumulative_installed_kw,installations_in_month
2001-04,422,13
2001-05,434,12
2001-06,467,19
2001-07,540,7
2001-08,557,10
2001-09,579,17
2001-10,596,10
2001-11,632,19
2001-12,654,13
2002-01,682,17
2002-02,709,19
2002-03,732,14
2002-04,750,15
2002-05,779,19
2002-06,795,16
2002-07,821,16
2002-08,849,19
2002-09,910,27
2002-10,941,21
2002-11,1231,37
2002-12,4274,34
2003-01,5294,44
2003-02,5404,34
2003-03,5465,44
2003-04,5492,16
2003-05,5512,15
2003-06,5576,46
2003-07,5671,63
2003-08,5781,83
2003-09,5879,69
2003-10,6009,85
2003-11,6138,92
2003-12,6242,74
2004-01,6299,44
2004-02,6407,92
2004-03,6504,68
2004-04,6624,75
2004-05,6737,84
2004-06,6839,85
2004-07,6931,89
2004-08,7052,102
2004-09,7139,85
2004-10,7290,137
2004-11,7421,120
2004-12,7556,108
2005-01,7694,99
2005-02,7814,118
2005-03,7927,110
2005-04,8116,139
2005-05,8282,137
2005-06,8417,95
2005-07,8571,106
2005-08,8728,107
2005-09,8857,97
2005-10,9042,115
2005-11,9246,142
2005-12,9462,141
2006-01,9560,59
2006-02,9639,57
2006-03,9797,91
2006-04,9926,79
2006-05,10077,97
2006-06,10215,88
2006-07,10353,80
2006-08,10489,86
2006-09,10627,89
2006-10,10819,124
2006-11,11057,138
2006-12,11275,130
2007-01,11438,106
2007-02,11619,118
2007-03,11846,154
2007-04,12054,134
2007-05,12224,122
2007-06,12524,196
2007-07,12978,282
2007-08,13542,363
2007-09,14216,422
2007-10,15131,543
2007-11,15974,522
2007-12,16963,524
2008-01,17847,528
2008-02,18797,645
2008-03,19770,684
2008-04,21109,875
2008-05,22602,1031
2008-06,23931,928
2008-07,25571,1147
2008-08,27186,1177
2008-09,29084,1329
2008-10,31584,1821
2008-11,33998,1769
2008-12,37006,2130
2009-01,39773,2170
2009-02,43561,2990
2009-03,48220,3573
2009-04,52721,3429
2009-05,58042,4082
2009-06,63854,4346
2009-07,70386,5169
2009-08,77757,5724
2009-09,86395,6268
2009-10,97101,7818
2009-11,109850,9279
2009-12,121783,8070
2010-01,133756,8398
2010-02,149512,10295
2010-03,171265,13228
2010-04,194097,13413
2010-05,223235,16688
2010-06,257254,18160
2010-07,291823,16808
2010-08,329095,17390
2010-09,370475,19022
2010-10,416222,21171
2010-11,471006,24984
2010-12,512034,18654
2011-01,570142,25466
2011-02,634723,28850
2011-03,714942,35529
2011-04,790937,33180
2011-05,907499,50291
2011-06,1074846,68868
2011-07,1128951,22220
2011-08,1185546,22127
2011-09,1253014,24876
2011-10,1296938,16669
2011-11,1345338,18080
2011-12,1385122,14596
2012-01,1419641,13018
2012-02,1470871,19563
2012-03,1533185,23632
2012-04,1604558,26554
2012-05,1726837,43479
2012-06,1905763,59213
2012-07,1984555,25778
2012-08,2072809,27993
2012-09,2168515,28422
2012-10,2241529,22609
2012-11,2315460,22507
2012-12,2421635,30563
2013-01,2473170,15004
2013-02,2529061,15489
2013-03,2589474,16142
2013-04,2652484,16741
2013-05,2731662,20144
2013-06,2822999,22223
2013-07,2887253,16765
2013-08,2947496,14962
2013-09,3009810,14890
2013-10,3082913,17317
2013-11,3154255,16967
2013-12,3215758,13753
2014-01,3277001,13770
2014-02,3335245,14118
2014-03,3397602,14265
2014-04,3459076,13501
2014-05,3552537,16192
2014-06,3617275,14418
2014-07,3690346,16264
2014-08,3757189,14780
2014-09,3830011,16579
2014-10,3905516,16813
2014-11,3972420,14159
2014-12,4038055,13533
2015-01,4091427,11467
2015-02,4152931,12877
2015-03,4318389,13169
2015-04,4371924,11074
2015-05,4431490,11630
2015-06,4491602,11787
2015-07,4610959,13111
2015-08,4670765,11624
2015-09,4732949,11780
2015-10,4794930,11485
2015-11,4858302,11243
2015-12,4918071,10306
2016-01,4960533,8216
2016-02,5074107,10968
2016-03,5131162,10653
2016-04,5199357,10292
2016-05,5258900,10694
2016-06,5322018,10072
2016-07,5379994,10137
2016-08,5446089,11471
2016-09,5514892,11317
2016-10,5580969,11063
2016-11,5659595,13446
2016-12,5783511,14448
2017-01,5839903,10136
2017-02,5912899,12999
2017-03,6023375,14247
2017-04,6093711,11661
2017-05,6191550,14690
2017-06,6288272,14072
2017-07,6398210,14622
2017-08,6500150,15860
2017-09,6599256,14691
2017-10,6709148,15891
2017-11,6862184,18380
2017-12,7147844,17825
2018-01,7296991,14335
2018-02,7418320,16652
2018-03,7901556,17737
2018-04,8038018,15907
2018-05,8412182,18262
2018-06,8551454,16451
2018-07,9074036,17957
2018-08,9434757,19401
2018-09,10263087,19086
2018-10,10564677,22150
2018-11,10965606,24924
2018-12,11247757,22343
2019-01,11521405,18608
2019-02,11963170,22956
2019-03,12147481,23384
2019-04,12495011,20843
2019-05,12936892,23051
2019-06,13201283,19138
2019-07,13404761,22722
2019-08,13848903,23330
2019-09,14046255,24791
2019-10,14533686,27795
2019-11,15119625,30118
2019-12,16040439,29453
2020-01,16241671,23514
2020-02,16474023,28248
2020-03,16848423,31353
2020-04,17187742,26613
2020-05,17415688,27977
2020-06,17920806,30230
2020-07,18239321,33775
2020-08,18476711,28493
2020-09,19007949,31455
2020-10,19322253,33043
2020-11,19951444,38772
2020-12,20731036,37087
2021-01,20970592,27206
2021-02,21403195,34348
2021-03,21751056,37210
2021-04,22039255,32502
2021-05,22394627,30390
2021-06,22821603,30705
2021-07,23153726,29143
2021-08,23626318,28617
2021-09,23899632,29440
2021-10,24278221,28219
2021-11,25171042,30677
2021-12,25674477,30586
2022-01,25804287,16148
2022-02,25980712,21414
2022-03,26093473,13798
